58,2,1,2,1,2143,2,1,2,5,1,261,1,0
44,3,2,1,1,29,2,1,2,5,1,151,1,0
33,8,1,1,1,2,2,2,2,5,1,76,1,0
47,1,1,4,1,1506,2,1,2,5,1,92,1,0
33,12,2,4,1,1,1,1,2,5,1,198,1,0
35,2,1,2,1,231,2,1,2,5,1,139,1,0
28,2,2,2,1,447,2,2,2,5,1,217,1,0
42,8,3,2,2,2,2,1,2,5,1,380,1,0
58,6,1,3,1,121,2,1,2,5,1,50,1,0
43,3,2,1,1,593,2,1,2,5,1,55,1,0
41,4,3,1,1,270,2,1,2,5,1,222,1,0
29,4,2,1,1,390,2,1,2,5,1,137,1,0
53,3,1,1,1,6,2,1,2,5,1,517,1,0
58,3,1,4,1,71,2,1,2,5,1,71,1,0
57,5,1,1,1,162,2,1,2,5,1,174,1,0
51,6,1,3,1,229,2,1,2,5,1,353,1,0
45,4,2,4,1,13,2,1,2,5,1,98,1,0
57,1,1,3,1,52,2,1,2,5,1,38,1,0
60,6,1,3,1,60,2,1,2,5,1,219,1,0
33,5,1,1,1,0,2,1,2,5,1,54,1,0
28,1,1,1,1,723,2,2,2,5,1,262,1,0
56,2,1,2,1,779,2,1,2,5,1,164,1,0
32,1,2,3,1,23,2,2,2,5,1,160,1,0
25,5,1,1,1,50,2,1,2,5,1,342,1,0
40,6,1,3,1,0,2,2,2,5,1,181,1,0
44,4,1,1,1,-372,2,1,2,5,1,172,1,0
39,2,2,2,1,255,2,1,2,5,1,296,1,0
52,8,1,1,1,113,2,2,2,5,1,127,1,0
46,2,2,1,1,-246,2,1,2,5,1,255,2,0
36,3,2,1,1,265,2,2,2,5,1,348,1,0
57,3,1,1,1,839,1,2,2,5,1,225,1,0
49,2,1,2,1,378,2,1,2,5,1,230,1,0
60,4,1,1,1,39,2,2,2,5,1,208,1,0
59,1,1,1,1,0,2,1,2,5,1,226,1,0
51,2,1,2,1,10635,2,1,2,5,1,336,1,0
57,3,3,1,1,63,2,1,2,5,1,242,1,0
25,1,1,1,1,-7,2,1,2,5,1,365,1,0
53,3,1,1,1,-3,1,1,2,5,1,1666,1,0
36,4,3,1,1,506,2,1,2,5,1,577,1,0
37,4,2,1,1,0,2,1,2,5,1,137,1,0
44,5,3,1,1,2586,2,1,2,5,1,160,1,0
50,2,1,1,1,49,2,1,2,5,1,180,2,0
60,1,1,4,1,104,2,1,2,5,1,22,1,0
54,6,1,1,1,529,2,1,2,5,1,1492,1,0
58,6,1,4,1,96,2,1,2,5,1,616,1,0
36,4,2,3,1,-171,2,1,2,5,1,242,1,0
58,7,1,2,1,-364,2,1,2,5,1,355,1,0
44,3,1,1,1,0,2,1,2,5,1,225,2,0
55,3,3,1,1,0,1,1,2,5,1,160,1,0
29,2,2,2,1,0,2,1,2,5,1,363,1,0
54,1,1,1,1,1291,2,1,2,5,1,266,1,0
48,2,3,2,1,-244,2,1,2,5,1,253,1,0
32,2,1,2,1,0,2,1,2,5,1,179,1,0
42,4,2,1,1,-76,2,1,2,5,1,787,1,0
24,3,2,1,1,-103,2,2,2,5,1,145,1,0
38,8,2,2,1,243,1,2,2,5,1,174,1,0
38,2,2,2,1,424,2,1,2,5,1,104,1,0
47,1,1,4,1,306,2,1,2,5,1,13,1,0
40,1,2,4,1,24,2,1,2,5,1,185,1,0
46,5,1,3,1,179,2,1,2,5,1,1778,1,0
32,4,1,2,1,0,2,1,2,5,1,138,1,0
53,3,3,1,1,989,2,1,2,5,1,812,1,0
57,1,1,3,1,249,2,1,2,5,1,164,1,0
